target,language/n,word/n,flemish/j,english/j,eat/v,speak/v
linguistics/n,4.3745093,0.99015164,,3.1579936,,0.41195878
lexicography/n,3.5098114,2.1760747,,2.193212,,2.0862346
computational/j,1.5971932,0.081135064,,-1.0003397,,-1.8004645
research/n,0.20354003,-0.84207296,0.043939512,-0.4998811,-0.6759181,-0.38084835
chocolate/n,-1.7203482,-0.52835625,1.2805915,-0.7343623,3.0754251,-1.1290219
