type	final_action	majority_agreement	n
huldigen	Remove	Majority	8
huldigen	Remove	No agreement	1
huldigen	Same	Full	207
huldigen	Same	Majority	22
schaal	Other	Full	1
schaal	Other	Majority	7
schaal	Other	No agreement	8
schaal	Remove	Full	2
schaal	Same	Full	281
schaal	Same	Majority	21
spoor	Other	Full	17
spoor	Other	Majority	70
spoor	Other	No agreement	33
spoor	Remove	No agreement	2
spoor	Same	Full	139
spoor	Same	Majority	96
spoor	Same	No agreement	3
spot	Other	Full	13
spot	Other	Majority	17
spot	Other	No agreement	3
spot	Remove	Full	16
spot	Remove	Majority	4
spot	Remove	No agreement	1
spot	Same	Full	173
spot	Same	Majority	13
staal	Other	Full	11
staal	Other	Majority	32
staal	Other	No agreement	1
staal	Remove	Full	3
staal	Remove	Majority	6
staal	Same	Full	189
staal	Same	Majority	78
stof	Other	Full	10
stof	Other	Majority	24
stof	Other	No agreement	17
stof	Remove	Majority	6
stof	Remove	No agreement	1
stof	Same	Full	227
stof	Same	Majority	33
stof	Same	No agreement	2
