batch	kappa	p.value	lemma
batch_4	0.6740016299918501	9.547918011776346e-15	heilzaam
batch_5	0.5979653122510267	0	heilzaam
batch_6	0.5925020374898127	9.783507337601804e-12	heilzaam
batch_1	0.4002677376171352	0	helpen
batch_2	0.40991345397324946	7.207567875866516e-13	helpen
batch_3	0.3311897106109324	5.011622894457446e-9	helpen
batch_4	0.4092827004219409	2.90834023530806e-12	helpen
batch_5	0.43649946638207043	4.674038933671909e-13	helpen
batch_6	0.3060612550867424	7.337835432608131e-7	helpen
batch_1	0.5064436523169729	1.306654806576546e-8	hemels
batch_2	0.4853926561243636	1.168141650076393e-8	hemels
batch_3	0.5824334053275739	4.440892098500626e-15	hemels
batch_4	0.5095828635851185	2.2606805316627288e-11	hemels
batch_5	0.7745773324984346	0	hemels
batch_6	0.6590101823348331	0	hemels
batch_1	0.7392559482236813	0	herhalen
batch_2	0.6535129932627527	0	herhalen
batch_3	0.523298260682843	4.440892098500626e-16	herhalen
batch_4	0.7734340293203021	0	herhalen
batch_5	0.7569620253164556	0	herhalen
batch_6	0.8120384873573507	0	herhalen
batch_7	0.7224791859389456	0	herhalen
batch_8	0.9477693144722523	0	herhalen
batch_1	0.8146240988671474	0	herinneren
batch_2	0.7487286868082562	0	herinneren
batch_3	0.884132603797876	0	herinneren
batch_4	0.4483030392591499	4.440892098500626e-16	herinneren
batch_5	0.925	0	herinneren
batch_6	0.8106508875739645	0	herinneren
batch_1	0.5191023243387657	1.0663823157841534e-9	herroepen
batch_2	0.669711513650204	0	herroepen
batch_3	0.6954314720812182	2.220446049250313e-16	herroepen
batch_4	0.7240586375395229	2.220446049250313e-15	herroepen
batch_5	0.6428571428571431	1.892930256985892e-12	herroepen
batch_6	0.6061884669479609	7.527312106958561e-14	herroepen
batch_1	0.7502477700693756	0	herstellen
batch_2	0.7013824884792627	0	herstellen
batch_3	0.452154857560263	0	herstellen
batch_4	0.49502677888293795	0	herstellen
batch_5	0.725325032045413	0	herstellen
batch_6	0.7813159409169386	0	herstellen
batch_1	0.24301964839710452	1.0908463258729739e-4	herstructureren
batch_2	0.32849740932642496	2.397016136690411e-7	herstructureren
batch_3	0.20252309078621308	0.00235127030496729	herstructureren
batch_4	0.12130398488642853	0.013720962816548665	herstructureren
batch_5	0.2836224374859203	3.441108953627925e-5	herstructureren
batch_6	0.3545768215952913	5.8205862352167514e-9	herstructureren
batch_1	0.7400346620450606	0	hoekig
batch_2	0.8856598380181039	0	hoekig
batch_3	0.7084161696487741	0	hoekig
batch_4	0.5952121871599565	0	hoekig
batch_5	0.7847809377402001	0	hoekig
batch_6	0.6632851284265054	0	hoekig
batch_7	0.783328317785134	0	hoekig
batch_1	1	0	hoop
batch_2	0.8720682302771857	0	hoop
batch_3	0.906286606794221	0	hoop
batch_4	0.9227053140096618	0	hoop
batch_5	0.8084087280468335	0	hoop
batch_6	0.9305153445280836	0	hoop
batch_7	0.748427672955975	0	hoop
batch_8	0.7621878715814508	0	hoop
batch_1	0.5039858281665192	1.4437021800262073e-8	hoopvol
batch_2	0.4631673128541604	1.8840406701414736e-7	hoopvol
batch_3	0.7777091694967583	0	hoopvol
batch_4	0.4750000000000001	1.957126805063325e-7	hoopvol
batch_5	0.5571955719557197	1.1919576436980606e-11	hoopvol
batch_6	0.7093023255813956	0	hoopvol
batch_1	0.7884219806053483	0	horde
batch_2	0.8322616717920046	0	horde
batch_3	0.7959296844673655	0	horde
batch_4	0.8369195922989809	0	horde
batch_5	0.8240039110241995	0	horde
batch_6	0.7918215613382901	0	horde
batch_7	0.9625351233218858	0	horde
batch_1	0.7991071428571429	0	huldigen
batch_2	0.8187311178247736	0	huldigen
batch_3	0.7524314765694078	0	huldigen
batch_4	0.8641765704584041	0	huldigen
batch_5	0.3931731984829329	1.6548615547007373e-5	huldigen
batch_6	0.562841530054645	2.5043744855679506e-11	huldigen
batch_1	0.7925832809553742	0	schaal
batch_2	0.9372220769029559	0	schaal
batch_3	0.9202127659574468	0	schaal
batch_4	0.9334442595673877	0	schaal
batch_5	0.9445471349353048	0	schaal
batch_6	0.6864111498257842	0	schaal
batch_7	0.6241457858769931	0	schaal
batch_8	0.935904439345934	0	schaal
batch_1	0.8969662278191186	0	spot
batch_2	0.9378399378399379	0	spot
batch_3	0.9148734925514307	0	spot
batch_4	0.9506172839506172	0	spot
batch_5	0.7893915756630266	0	spot
batch_6	0.5635430038510911	0	spot
batch_1	0.5571955719557199	1.6564527527407336e-13	staal
batch_2	0.33306867804684404	3.099185748034472e-6	staal
batch_3	-0.13408151210868252	0.10262179789179404	staal
batch_4	0.585205668855859	0	staal
batch_5	0.5157179269328802	0	staal
batch_6	0.4123134328358209	2.3590018827235326e-12	staal
batch_7	0.7577772500593685	0	staal
batch_8	0.3901593901593901	4.68505456652224e-10	staal
batch_1	0.799882283696292	0	stof
batch_2	0.6603773584905661	0	stof
batch_3	0.5725014442518775	0	stof
batch_4	0.7093425605536334	0	stof
batch_5	0.817351598173516	0	stof
batch_6	0.7866766467065869	0	stof
batch_7	0.7619806609287005	0	stof
batch_8	0.8674765323025951	0	stof
