batch	kappa	p.value	lemma
batch_1	0.4505913773368943	0	blik
batch_2	0.393081124822982	7.37188088351104e-14	blik
batch_3	-0.02719033232628395	0.7012628344274154	blik
batch_4	0.32617187500000006	3.614473609303559e-9	blik
batch_5	0.37869822485207105	5.196731933665433e-12	blik
batch_6	0.2829234658699149	3.743454878968322e-6	blik
batch_7	0.6537510305028855	0	blik
batch_1	0.7804710724902814	0	diskwalificeren
batch_2	0.805959805959806	0	diskwalificeren
batch_3	0.9399549662246687	0	diskwalificeren
batch_4	0.7871837313785764	0	diskwalificeren
batch_5	0.6979865771812082	0	diskwalificeren
batch_6	0.6116504854368935	4.440892098500626e-16	diskwalificeren
batch_1	0.5906080674292594	0	dof
batch_2	0.7837837837837839	0	dof
batch_3	0.7426470588235297	0	dof
batch_4	0.8255813953488373	0	dof
batch_5	0.7917570498915402	0	dof
batch_6	0.8971502035568888	0	dof
batch_7	0.7073791348600509	0	dof
batch_8	0.844526020297992	0	dof
batch_1	0.11346529132980218	0.20257652810780358	geestig
batch_2	0.851531085678936	0	geestig
batch_3	0.44444444444444453	1.1236608348230703e-6	geestig
batch_4	0.19191919191919188	0.03552092843481236	geestig
batch_5	0.3161836535330511	1.6352687349585615e-4	geestig
batch_6	0.7444831591173058	0	geestig
batch_7	0.3229256018756791	3.2898711932460856e-7	geestig
batch_1	0.6672904969848201	0	gekleurd
batch_2	0.9215686274509804	0	gekleurd
batch_3	0.6126354623011299	0	gekleurd
batch_4	0.8281294757949013	0	gekleurd
batch_5	0.8583569405099152	0	gekleurd
batch_6	0.878665318503539	0	gekleurd
batch_7	0.7285067873303168	0	gekleurd
batch_1	0.5738636363636365	3.249933655524728e-10	geldig
batch_2	0.6875	5.0182080713057076e-14	geldig
batch_3	0.37873357228195936	3.341957610758506e-5	geldig
batch_4	0.5868400918133131	6.283196185563611e-12	geldig
batch_5	0.514824797843666	1.7042278033230218e-8	geldig
batch_6	0.42652329749103957	2.978039690182399e-6	geldig
batch_1	0.48839976204640106	0	gemeen
batch_2	0.4870641169853769	0	gemeen
batch_3	0.5442076387423508	0	gemeen
batch_4	0.5753538717735222	0	gemeen
batch_5	0.593362935265249	0	gemeen
batch_6	0.49568965517241387	0	gemeen
batch_7	0.4275901545506583	0	gemeen
batch_8	0.5438434273385729	0	gemeen
batch_1	0.7515527950310561	0	goedkoop
batch_2	0.24358397118415126	1.809060893376291e-5	goedkoop
batch_3	0.21913128355295264	1.7414367370349737e-7	goedkoop
batch_4	0.6391934913335693	0	goedkoop
batch_5	0.3594306049822064	6.522665474406608e-8	goedkoop
batch_6	0.06752411575562707	0.2513597163363279	goedkoop
batch_7	0.4159636599610643	4.950664322933562e-10	goedkoop
batch_8	0.38276896699528523	4.7160275684632325e-11	goedkoop
batch_1	0.5665864048897945	0	grijs
batch_2	0.7386858549517138	0	grijs
batch_3	0.6484999112373514	0	grijs
batch_4	0.6380870314519604	0	grijs
batch_5	0.7241103558576569	0	grijs
batch_6	0.6080453842186695	0	grijs
batch_7	0.7947938438153146	0	grijs
batch_8	0.8184568835098337	0	grijs
batch_1	0.376538146021329	2.3721710516122485e-5	hachelijk
batch_2	0.17307182613305055	0.04211309647843953	hachelijk
batch_3	0.3666666666666667	5.903578049593072e-5	hachelijk
batch_4	0.4498381877022654	2.36302929002008e-7	hachelijk
batch_5	0.5377777777777778	3.837252737781682e-9	hachelijk
batch_6	0.7176470588235296	3.774758283725532e-15	hachelijk
batch_1	0.49042284062161196	0	haken
batch_2	0.6643943366544312	0	haken
batch_3	0.4184839044652129	0	haken
batch_4	0.6860339227715627	0	haken
batch_5	0.4818013571869217	0	haken
batch_6	0.5188084781363377	0	haken
batch_7	0.5831190647605334	0	haken
batch_8	0.5936030103480716	0	haken
batch_9	0.850974398165839	0	haken
batch_1	0.7901282549553053	0	harden
batch_2	0.7635933806146571	0	harden
batch_3	0.8554216867469879	0	harden
batch_4	0.8405315614617941	0	harden
batch_5	0.8417721518987344	0	harden
batch_6	0.8523531221162719	0	harden
batch_7	0.7038134024435394	0	harden
batch_8	0.922279792746114	0	harden
batch_1	0.5843724023275146	5.995204332975845e-13	haten
batch_2	0.5746915200840116	1.9058088440715437e-12	haten
batch_3	0.8717606198236709	0	haten
batch_4	0.83164983164983175	0	haten
batch_5	0.7242917236835437	0	haten
batch_6	0.8349834983498351	0	haten
batch_1	0.5039539899352984	0	heet
batch_2	0.6216748768472907	0	heet
batch_3	0.7147037307973665	0	heet
batch_4	0.6509481456620239	0	heet
batch_5	0.615858163014036	0	heet
batch_6	0.49918566775244294	0	heet
batch_7	0.47980295566502457	0	heet
batch_8	0.4406115979862018	0	heet
batch_9	0.2920747996438112	1.820290085330356e-7	heet
batch_1	1	0	heffen
batch_2	0.9339207048458149	0	heffen
batch_3	0.627143922445936	2.220446049250313e-16	heffen
batch_4	0.9686929298199844	0	heffen
batch_5	0.9053814311058547	0	heffen
batch_6	0.9352750809061489	0	heffen
batch_1	0.5788242176074876	7.604983309761337e-11	heilzaam
batch_2	0.7313182199832075	0	heilzaam
batch_3	0.7155555555555556	4.6629367034256575e-15	heilzaam
