_id	model.x	model.y	cluster	eps
hachelijk/adj/de_standaard_20040625_01_85/346	-0.17509997386894116	0.09577383663713321	8	1.7228576955368944
hachelijk/adj/het_laatste_nieuws_19990420_01_572/83	0.6231137957094858	-0.37358932420692165	NA	3.812446130900593
hachelijk/adj/het_laatste_nieuws_20011203_01_237/39	0.7667110550313229	-0.4751829383762	NA	3.9452545541808557
hachelijk/adj/het_nieuwsblad_20041224_01_100/712	0.010958176334125012	0.5123274271180348	NA	3.257429324130549
hachelijk/adj/de_standaard_20010126_01_55/233	-0.03367059565921885	1.0051614821060124	NA	3.704314174991767
hachelijk/adj/de_standaard_20030329_01_37/52	-0.7781968611834702	-0.46890258623916825	NA	3.7905906386510497
hachelijk/adj/het_laatste_nieuws_19990821_01_308/185	0.2516530971529071	0.9460931386722498	NA	3.510370618173553
hachelijk/adj/het_laatste_nieuws_20031010_01_384/104	0.12186212960128552	0.6160331909237607	NA	3.9452915830208886
hachelijk/adj/parool_20000617_75/211	-0.30727992094003304	-0.08473777647834102	2	1.984939899366388
hachelijk/adj/volkskrant_19990319_135/850	-0.7741222176445458	0.1374146828055299	2	1.8345958091621508
hachelijk/adj/volkskrant_20020124_74/791	-0.2810276593167332	0.3608196712695823	8	2.001591579629595
hachelijk/adj/algemeen_dagblad_19990130_89/63	0.3948718675874798	-0.43509736722329806	5	1.4994847778181626
hachelijk/adj/algemeen_dagblad_20000212_1/882	0.18905638043772277	-0.2063455839824274	5	2.25350236919198
hachelijk/adj/algemeen_dagblad_20000221_13/19	0.2941592055409316	0.19560752758043645	1	1.9771620224877158
hachelijk/adj/algemeen_dagblad_20010330_20/1118	0.32636173908059823	-0.29643414324857764	5	1.7898519138545963
hachelijk/adj/algemeen_dagblad_20011027_167/945	0.14999879888998954	0.12097723911938353	1	2.00183309437195
hachelijk/adj/algemeen_dagblad_20011208_180/1999	0.2976432717135644	-0.3992752683088609	5	2.052926533815307
hachelijk/adj/algemeen_dagblad_20021015_99/245	0.02987101543631657	0.38434210780458766	7	1.5565608796652195
hachelijk/adj/de_morgen_19991009_01_37/1542	0.09739361435254507	-0.17324060461665644	7	2.7151476406021535
hachelijk/adj/de_morgen_20000114_01_124/282	0.3520866517840666	0.2805509979785574	1	1.9542526697444063
hachelijk/adj/de_morgen_20010328_01_104/50	0.10777791991865181	-0.06341433692049675	7	2.615072364751203
hachelijk/adj/de_morgen_20010328_01_65/53	0.10777791991865181	-0.06341433692049675	7	2.615072364751203
hachelijk/adj/de_morgen_20020413_01_160/370	0.1839134603655996	0.08411920619860268	1	1.753800386282814
hachelijk/adj/de_morgen_20020422_01_125/42	0.20251067261194058	-0.17374360064726163	NA	3.5325608000218613
hachelijk/adj/de_morgen_20020614_01_158/452	0.21817403238886676	-0.001377057289526183	8	3.3006956237466905
hachelijk/adj/de_morgen_20030927_01_80/593	0.28161476364428806	-0.48060918011884335	5	1.9694728621978426
hachelijk/adj/de_morgen_20031205_01_105/249	0.16336980677783253	0.08337884220118766	1	1.8795496959495783
hachelijk/adj/de_morgen_20040513_01_21/284	0.26760883638239635	0.23853030102472014	1	1.84167155265786
hachelijk/adj/de_standaard_19990211_01_81/541	0.17203335848935852	0.1524298761832021	1	1.8827657030706908
hachelijk/adj/de_standaard_19991025_01_54/146	0.11276381015283941	0.0021478997591738453	1	2.1906653917364425
hachelijk/adj/de_standaard_19991028_01_102/2661	0.19248605488209525	0.13545431800884838	1	2.0631373570784044
hachelijk/adj/de_standaard_20000826_01_48/24	0.24804468991973694	0.22530990208279683	1	1.6351254713450694
hachelijk/adj/de_standaard_20010217_01_58/1121	0.04922248269829789	0.07317834720456264	1	3.2205281079726458
hachelijk/adj/de_standaard_20010406_01_95/751	0.3513870771363633	0.44319061244728536	1	1.8787558596468632
hachelijk/adj/de_standaard_20020129_01_91/272	0.8277862186719452	-0.273765007013473	NA	3.5345828316119845
hachelijk/adj/de_standaard_20020625_01_40/170	0.28283914985418396	0.1695939279284393	1	2.4005039305849767
hachelijk/adj/de_standaard_20021012_01_104/153	-0.062370681998864703	0.24479086279629012	7	2.0182810483478026
hachelijk/adj/de_standaard_20030319_01_58/149	0.2766451187036315	0.006698242236071001	7	2.7124784250719607
hachelijk/adj/de_standaard_20030412_01_106/546	-0.031006727011828127	-0.10621149534755957	7	3.0892693891187535
hachelijk/adj/de_standaard_20040203_01_170/294	-0.025883007614358258	0.047737587135423226	1	2.315544423589893
hachelijk/adj/de_standaard_20040203_01_8/295	-0.02588300761435829	0.04773758713542317	1	2.315544423589893
hachelijk/adj/de_standaard_20040311_01_64/773	0.17752299407261615	0.034400132633583436	1	2.2598761015558613
hachelijk/adj/de_standaard_20041127_01_199/1097	0.4728653750669043	0.515277712340136	1	2.688626997540963
hachelijk/adj/de_standaard_20041215_01_128/352	0.14987752361979287	0.3445975247965141	7	2.1420360962644116
hachelijk/adj/het_laatste_nieuws_20000408_01_731/645	-0.0439536802633622	-0.24144385767449245	7	3.110175232463452
hachelijk/adj/het_laatste_nieuws_20010112_01_149/186	0.4073317572581165	0.09416165439976741	1	2.271101059587136
hachelijk/adj/het_laatste_nieuws_20011103_01_584/386	0.24112593590485612	0.44703919392114977	NA	3.1995387407785367
hachelijk/adj/het_nieuwsblad_19990724_01_140/726	-0.1769255300802268	-0.4635584054206798	NA	3.4867753184669246
hachelijk/adj/het_nieuwsblad_20000125_01_589/210	0.4306940113292407	-0.4255428316865054	5	1.5637256043643233
