type	defs	batches	pos	difficulty	frequency
heilzaam	2	6	adj	1	1476
hoekig	3	7	adj	2	1242
gekleurd	3	7	adj	3	4520
dof	4	8	adj	4	1268
hachelijk	2	6	adj	5	1307
geestig	2	7	adj	6	3970
hoopvol	2	6	adj	7	3680
hemels	2	6	adj	8	1417
geldig	2	6	adj	9	5128
gemeen	5	8	adj	10	2997
goedkoop	4	8	adj	11	40669
grijs	6	8	adj	12	13567
heet	6	9	adj	13	10676
horde	3	7	noun	1	3224
hoop	3	8	noun	2	41946
spot	3	6	noun	3	3496
staal	4	8	noun	4	5796
stof	5	8	noun	5	24502
schaal	6	8	noun	6	14249
blik	6	7	noun	7	22175
spoor	8	9	noun	8	37307
herroepen	2	6	verb	1	848
heffen	2	6	verb	2	4799
huldigen	2	6	verb	3	4091
haten	2	6	verb	4	4828
herhalen	3	8	verb	5	16856
herinneren	3	6	verb	6	33432
diskwalificeren	3	6	verb	7	1084
harden	5	8	verb	8	1050
herstellen	5	6	verb	9	28814
helpen	3	6	verb	10	87136
herkennen	4	8	verb	11	19219
haken	5	9	verb	12	1403
herstructureren	3	6	verb	13	936
